"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000152952",5218.42829404012,5.63688165732742,0.120767085277971,46.6756454737061,0,0
"ENSG00000159167",1618.80378131637,5.46823016667091,0.148268677417004,36.8805486224955,9.47555082486433e-298,6.55092206276996e-294
"ENSG00000131016",2300.44828388444,3.74139720316401,0.125646745042047,29.7771120287436,7.73098828101759e-195,3.56321249872101e-191
"ENSG00000150594",1311.18010235723,4.61137179628279,0.1584196309395,29.1085881777104,2.79511456167287e-186,9.66201226106271e-183
"ENSG00000096088",996.511854753316,3.99025368194636,0.146994069714134,27.1456779835158,2.847686161751e-162,7.87499131170622e-159
"ENSG00000140459",603.927820921112,5.96634130999798,0.2208089075843,27.0203832593129,8.51557081208099e-161,1.96241329364406e-157
"ENSG00000158406",5443.20222961843,3.03684845160956,0.112471117944483,27.0011404448615,1.43302100480787e-160,2.83062591906834e-157
"ENSG00000104419",15545.6338850174,2.99278806537223,0.112000436976541,26.7212177573832,2.66839044801086e-157,4.61197934058077e-154
"ENSG00000157219",564.746652286258,6.10103162616209,0.240184941878595,25.4013910216151,2.43418287450299e-142,3.73971628952809e-139
"ENSG00000137801",1841.18050646194,3.57912106962957,0.143391067475609,24.9605580922144,1.64007287530333e-137,2.26772876468191e-134
"ENSG00000143847",829.723498482718,4.12769908643797,0.169271994616324,24.3850088480017,2.46670760905397e-131,3.10065146458084e-128
"ENSG00000172243",698.169162348598,4.03454773299521,0.173647111645847,23.2341770315401,2.05623216252442e-119,2.36929350926876e-116
"ENSG00000146648",6096.03707073023,2.66791138537877,0.114895729343037,23.2202833006382,2.84107958277787e-119,3.0218159531592e-116
"ENSG00000134240",1045.91133083088,-3.33098793512365,0.14576219053885,-22.8522082634031,1.38934098423511e-115,1.37217269921563e-112
"ENSG00000131389",795.164762399946,4.0326020315535,0.178050199084387,22.6486802727036,1.43752584897633e-113,1.32511132758638e-110
"ENSG00000170525",2259.35754118385,2.82562787771907,0.124791268982452,22.6428331145219,1.64147298566563e-113,1.41854043579991e-110
"ENSG00000115414",28771.692662433,2.88502387772527,0.129090922336583,22.348774224442,1.24104097878065e-110,1.00940433021177e-107
"ENSG00000114268",1398.39546907318,2.85637969972031,0.129196717476221,22.1087637172053,2.60302071257388e-108,1.99955374404217e-105
"ENSG00000166292",441.47971715721,4.75636416230825,0.215949104497203,22.0253942399185,1.64472134838604e-107,1.19692432021756e-104
"ENSG00000125629",1951.34494782451,2.79959521132858,0.130728884712183,21.4152764899071,9.62709307512588e-102,6.65569079748828e-99
"ENSG00000164188",732.455696265566,3.4072257001394,0.16125394471963,21.1295649608045,4.25448810635621e-99,2.80127652602797e-96
"ENSG00000134333",46958.6375490052,1.9270277727164,0.0960158860877237,20.0698847996444,1.35317836339158e-89,8.50472601391611e-87
"ENSG00000102144",24353.3403666394,2.20448213376341,0.110341998278512,19.9786316013521,8.45086210842476e-89,5.08043784231257e-86
"ENSG00000197520",511.417431463107,3.70958145168792,0.190114749378307,19.5123285479879,8.62618954065684e-85,4.96976344911092e-82
"ENSG00000164850",470.355019113633,3.58112228143292,0.18362189990008,19.5026970278689,1.04143123285405e-84,5.75994786266918e-82
"ENSG00000131711",12129.7893411435,2.08400501768646,0.107033496448306,19.4705871230972,1.95023406387903e-84,1.03714947697136e-81
"ENSG00000198763",97417.6415516895,-1.87589466453966,0.0963614675232785,-19.467269571071,2.08070774055651e-84,1.06555355291388e-81
"ENSG00000115738",1280.57620386034,2.49709451437199,0.128465877255893,19.4378037788042,3.69654777985099e-84,1.82543450542856e-81
"ENSG00000176171",14126.6388694837,2.0592659799679,0.106992868077427,19.2467593118233,1.50273989939321e-82,7.1649602030724e-80
"ENSG00000149925",3107.23971862252,2.29002375529764,0.121720362931229,18.8138097862186,5.82008574030042e-79,2.68247751770446e-76
"ENSG00000196968",746.451564074804,2.7061275544259,0.149022176744429,18.1592271267575,1.08541980030627e-73,4.84132244478541e-71
"ENSG00000114023",13100.6532404629,1.82046610145803,0.101252194491393,17.9795224251932,2.81910277331201e-72,1.21811668895579e-69
"ENSG00000104765",16120.076875991,2.12117096722844,0.118961422935767,17.8307464292333,4.07938363997681e-71,1.70926174515028e-68
"ENSG00000134107",1488.56320303485,2.38012988357953,0.134391913757905,17.7103652818511,3.48801461577441e-70,1.41849347330332e-67
"ENSG00000124766",6889.20827884516,1.86528729249916,0.105886252482611,17.6159534289447,1.85831584575065e-69,7.34140948548407e-67
"ENSG00000163516",3611.50768539381,1.85408191914007,0.105997071266153,17.491822151242,1.65383749836827e-68,6.35211419164947e-66
