Geneid,LNCAP_Hypoxia_S1,LNCAP_Hypoxia_S2,LNCAP_Normoxia_S1,LNCAP_Normoxia_S2,PC3_Hypoxia_S1,PC3_Hypoxia_S2,PC3_Normoxia_S1,PC3_Normoxia_S2,Genebiotype,Genesymbol
ENSG00000000003,604,691,367,380,1059,332,352,971,protein_coding,TSPAN6
ENSG00000000005,0,0,0,0,0,0,0,0,protein_coding,TNMD
ENSG00000000419,1995,2302,2160,2454,1974,693,747,1761,protein_coding,DPM1
ENSG00000000457,554,607,433,518,88,26,29,83,protein_coding,SCYL3
ENSG00000000460,275,350,379,349,390,155,189,438,protein_coding,C1orf112
ENSG00000000938,2,2,2,1,0,0,0,1,protein_coding,FGR
ENSG00000000971,0,0,1,0,3,1,0,2,protein_coding,CFH
ENSG00000001036,178,229,334,452,821,280,287,732,protein_coding,FUCA2
ENSG00000001084,1274,1749,915,941,804,251,310,903,protein_coding,GCLC
ENSG00000001167,5820,6361,4616,5061,2311,727,685,1855,protein_coding,NFYA
ENSG00000001460,286,290,432,512,320,119,130,391,protein_coding,STPG1
ENSG00000001461,1653,1985,2190,2735,800,258,324,864,protein_coding,NIPAL3
ENSG00000001497,2310,2456,2829,3617,426,151,230,609,protein_coding,LAS1L
ENSG00000001561,1350,1544,1242,1344,1704,560,513,1525,protein_coding,ENPP4
ENSG00000001617,1233,1195,757,986,270,93,159,403,protein_coding,SEMA3F
ENSG00000001626,6,2,10,15,7,1,1,4,protein_coding,CFTR
ENSG00000001629,2465,2852,2490,2741,1296,412,462,1257,protein_coding,ANKIB1
ENSG00000001630,123,166,172,191,101,29,41,101,protein_coding,CYP51A1
ENSG00000001631,653,776,729,746,254,90,96,292,protein_coding,KRIT1
ENSG00000002016,467,617,613,719,159,43,70,188,protein_coding,RAD52
ENSG00000002330,248,320,218,524,173,71,107,198,protein_coding,BAD
ENSG00000002549,2172,2519,3845,5070,756,244,333,962,protein_coding,LAP3
ENSG00000002586,8476,10240,7193,9439,3949,1455,1173,3056,protein_coding,CD99
ENSG00000002586,8476,10240,7193,9439,3949,1455,1173,3056,protein_coding,CD99
ENSG00000002587,75,92,244,422,57,17,16,42,protein_coding,HS3ST1
ENSG00000002726,13,10,7,7,1,0,0,0,protein_coding,AOC1
ENSG00000002745,0,1,2,0,3,0,0,4,protein_coding,WNT16
